code,code,decimal_point,name,pre_close,sec,sse,volunit
399330,399330,2,深证100,3357.5544433594,index_cn,sz,100
399333,399333,2,中小板R,6173.1572265625,index_cn,sz,100
399335,399335,2,深证央企,3514.7333984375,index_cn,sz,100
399337,399337,2,深证民营,3366.6069335938,index_cn,sz,100
399339,399339,2,深证科技,4327.1137695312,index_cn,sz,100
399341,399341,2,深证责任,1267.0245361328,index_cn,sz,100
399344,399344,2,深证300R,4041.826171875,index_cn,sz,100
399346,399346,2,深证成长,2914.7375488281,index_cn,sz,100
399348,399348,2,深证价值,4674.1635742188,index_cn,sz,100
399350,399350,2,皖江30,1342.9943847656,index_cn,sz,100
399351,399351,2,深报指数,5905.4545898438,index_cn,sz,100
399352,399352,2,深报综指,5927.5737304688,index_cn,sz,100
399353,399353,2,国证物流,2276.6127929688,index_cn,sz,100
399354,399354,2,分析师指,5307.9418945312,index_cn,sz,100
399355,399355,2,长三角,3106.0300292969,index_cn,sz,100
399356,399356,2,珠三角,7344.1845703125,index_cn,sz,100
399357,399357,2,环渤海,2677.5654296875,index_cn,sz,100
399358,399358,2,泰达指数,2750.9348144531,index_cn,sz,100
399359,399359,2,国证基建,2401.609375,index_cn,sz,100
399360,399360,2,新硬件,3280.4665527344,index_cn,sz,100
399361,399361,2,国证商业,5082.1689453125,index_cn,sz,100
399362,399362,2,国证民营,4714.541015625,index_cn,sz,100
399363,399363,2,计算机指,3547.7890625,index_cn,sz,100
399364,399364,2,中金消费,6173.857421875,index_cn,sz,100
399365,399365,2,国证农业,7350.1108398438,index_cn,sz,100
399366,399366,2,国证大宗,1814.9879150391,index_cn,sz,100
399367,399367,2,巨潮地产,5016.2983398438,index_cn,sz,100
399368,399368,2,国证军工,5508.1850585938,index_cn,sz,100
399369,399369,2,CBN-兴全,1264.5657958984,index_cn,sz,100
399370,399370,2,国证成长,3102.3366699219,index_cn,sz,100
399371,399371,2,国证价值,5382.8608398438,index_cn,sz,100
399372,399372,2,大盘成长,2983.2573242188,index_cn,sz,100
399373,399373,2,大盘价值,6511.4604492188,index_cn,sz,100
399374,399374,2,中盘成长,3409.1889648438,index_cn,sz,100
399375,399375,2,中盘价值,4596.37109375,index_cn,sz,100
399376,399376,2,小盘成长,4071.4541015625,index_cn,sz,100
399377,399377,2,小盘价值,5064.0688476562,index_cn,sz,100
399378,399378,2,南方低碳,2004.8095703125,index_cn,sz,100
399379,399379,2,国证基金,5723.5991210938,index_cn,sz,100
399380,399380,2,国证ETF,1147.8186035156,index_cn,sz,100
399381,399381,2,1000能源,2267.7805175781,index_cn,sz,100
399382,399382,2,1000材料,2031.0008544922,index_cn,sz,100
399383,399383,2,1000工业,1959.2844238281,index_cn,sz,100
399384,399384,2,1000可选,2889.1042480469,index_cn,sz,100
399385,399385,2,1000消费,6656.689453125,index_cn,sz,100
399386,399386,2,1000医药,5816.5947265625,index_cn,sz,100
399387,399387,2,1000金融,4143.2690429688,index_cn,sz,100
399388,399388,2,1000信息,2918.2189941406,index_cn,sz,100
399389,399389,2,国证通信,3254.8852539062,index_cn,sz,100
399390,399390,2,1000公用,2055.7333984375,index_cn,sz,100
399391,399391,2,投资时钟,2124.0888671875,index_cn,sz,100
399392,399392,2,国证新兴,1908.0045166016,index_cn,sz,100
399393,399393,2,国证地产,5373.0131835938,index_cn,sz,100
399394,399394,2,国证医药,8715.6279296875,index_cn,sz,100
399395,399395,2,国证有色,3245.4091796875,index_cn,sz,100
399396,399396,2,国证食品,11705.8212890625,index_cn,sz,100
399397,399397,2,OCT文化,1730.4233398438,index_cn,sz,100
399398,399398,2,绩效指数,6826.2290039062,index_cn,sz,100
399399,399399,2,中经GDP,5735.3959960938,index_cn,sz,100
399400,399400,2,大中盘,2791.2751464844,index_cn,sz,100
399401,399401,2,中小盘,3098.3916015625,index_cn,sz,100
399402,399402,2,周期100,2486.0461425781,index_cn,sz,100
399403,399403,2,防御100,5618.5981445312,index_cn,sz,100
399404,399404,2,大盘低波,5193.30078125,index_cn,sz,100
399405,399405,2,大盘高贝,1605.6932373047,index_cn,sz,100
399406,399406,2,中盘低波,9279.685546875,index_cn,sz,100
399407,399407,2,中盘高贝,1967.6715087891,index_cn,sz,100
399408,399408,2,小盘低波,9642.7822265625,index_cn,sz,100
399409,399409,2,小盘高贝,3287.0288085938,index_cn,sz,100
399410,399410,2,苏州率先,1691.8973388672,index_cn,sz,100
399411,399411,2,红利100,2631.5756835938,index_cn,sz,100
399412,399412,2,国证新能,1503.1318359375,index_cn,sz,100
399413,399413,2,国证转债,104.8197021484,index_cn,sz,100
399415,399415,2,I100,4662.1630859375,index_cn,sz,100
399416,399416,2,I300,3009.2241210938,index_cn,sz,100
399417,399417,2,新能源车,1664.9642333984,index_cn,sz,100
399418,399418,2,国证国安,2496.6201171875,index_cn,sz,100
399419,399419,2,国证高铁,1570.2996826172,index_cn,sz,100
399420,399420,2,国证保证,1025.3863525391,index_cn,sz,100
399422,399422,2,中关村A,2429.4677734375,index_cn,sz,100
399423,399423,2,中关村50,2210.6359863281,index_cn,sz,100
399427,399427,2,专利领先,2119.4565429688,index_cn,sz,100
399428,399428,2,国证定增,2079.7312011719,index_cn,sz,100
399429,399429,2,新丝路,1049.5465087891,index_cn,sz,100
399431,399431,2,国证银行,5760.6948242188,index_cn,sz,100
399432,399432,2,国证汽车,2847.8317871094,index_cn,sz,100
399433,399433,2,国证交运,1609.2746582031,index_cn,sz,100
399434,399434,2,国证传媒,2011.6273193359,index_cn,sz,100
399435,399435,2,国证农牧,2575.314453125,index_cn,sz,100
399436,399436,2,国证煤炭,2517.1782226562,index_cn,sz,100
399437,399437,2,国证证券,4066.8747558594,index_cn,sz,100
399438,399438,2,国证电力,1743.7736816406,index_cn,sz,100
